ic| current_user: 1, 'used Books GET. Auth Token: OK'
ic| current_user: 1, 'used Books GET. Auth Token: OK'
ic| current_user: 1, 'used Books GET. Auth Token: OK'
ic| data['Username']: '1', 'logged in successfully'
ic| data['Username']: '2', 'registered successfully'
ic| data['Username']: '2', 'logged in successfully'
12-01-2024 00:20:55 | ic| loan: <Loan 3>
12-01-2024 00:20:55 | ic| loan: <Loan 4>
12-01-2024 00:20:55 | ic| loan: <Loan 5>
12-01-2024 00:20:55 | ic| loan: <Loan 6>
12-01-2024 00:20:55 | ic| loan: <Loan 7>
12-01-2024 00:23:38 | ic| loan.BookID: 3
12-01-2024 00:23:38 | ic| loan.BookID: 1
12-01-2024 00:23:38 | ic| loan.BookID: 10
12-01-2024 00:23:38 | ic| loan.BookID: 9
12-01-2024 00:23:38 | ic| loan.BookID: 8
12-01-2024 09:16:03 | ic| data['Username']: '1', 'logged in successfully'
12-01-2024 09:35:18 | ic| data['Username']: '3', 'logged in successfully'
12-01-2024 09:42:54 | ic| data['Username']: 'userwaga', 'logged in successfully'
12-01-2024 10:42:20 | ic| data['Username']: '2', 'logged in successfully'
12-01-2024 10:46:29 | ic| data['Username']: 'admin', 'logged in successfully'
12-01-2024 10:50:42 | ic| data['Username']: 'waga1', 'logged in successfully'
12-01-2024 10:52:23 | ic| data['Username']: '2', 'logged in successfully'
12-01-2024 10:56:02 | ic| data['Username']: 'user1', 'logged in successfully'
12-01-2024 10:57:38 | ic| data['Username']: 'x123', 'registered successfully'
12-01-2024 10:57:44 | ic| data['Username']: 'x123', 'logged in successfully'
12-01-2024 10:59:44 | ic| data['Username']: '1', 'logged in successfully'
12-01-2024 13:00:49 | ic| data['Username']: '1', 'logged in successfully'
12-01-2024 13:07:15 | ic| current_user: 1, 'used Customers DELETE. Auth Token: OK'
12-01-2024 13:07:37 | ic| current_user: 1, 'used Customers DELETE. Auth Token: OK'
12-01-2024 13:48:20 | ic| data['Username']: 'newuser', 'registered successfully'
12-01-2024 13:49:10 | ic| data['Username']: '1', 'logged in successfully'
12-01-2024 13:50:08 | ic| data['Username']: 'newuser2', 'registered successfully'
12-01-2024 13:52:25 | ic| current_user: 1, 'used Customers DELETE. Auth Token: OK'
12-01-2024 14:50:46 | ic| data['Username']: '1', 'logged in successfully'
12-01-2024 18:31:20 | ic| data['Username']: '2', 'logged in successfully'
12-01-2024 18:38:52 | ic| data['Username']: '1', 'logged in successfully'
12-01-2024 18:39:11 | ic| data['Username']: '2', 'logged in successfully'
12-01-2024 18:43:44 | ic| data['Username']: '2', 'logged in successfully'
12-01-2024 18:52:38 | ic| data['Username']: '1', 'logged in successfully'
12-01-2024 18:53:42 | ic| data['Username']: '1231234', 'registered successfully'
12-01-2024 18:54:03 | ic| current_user: 1, 'used Customers DELETE. Auth Token: OK'
12-01-2024 19:03:54 | ic| data['Username']: '123123123', 'registered successfully'
12-01-2024 19:47:11 | ic| current_user: 1, 'used Customers DELETE. Auth Token: OK'
12-01-2024 21:16:42 | ic| data['Username']: '1', 'logged in successfully'
12-01-2024 21:36:59 | ic| data['Username']: 'waga1', 'logged in successfully'
13-01-2024 09:59:05 | ic| data['Username']: '1', 'logged in successfully'
13-01-2024 11:08:27 | ic| current_user: 1, 'used Customers DELETE. Auth Token: OK'
13-01-2024 11:08:41 | ic| current_user: 1, 'used Customers DELETE. Auth Token: OK'
13-01-2024 11:08:43 | ic| current_user: 1, 'used Customers DELETE. Auth Token: OK'
13-01-2024 11:08:44 | ic| current_user: 1, 'used Customers DELETE. Auth Token: OK'
13-01-2024 11:08:47 | ic| current_user: 1, 'used Customers DELETE. Auth Token: OK'
13-01-2024 11:09:03 | ic| current_user: 1, 'used Customers DELETE. Auth Token: OK'
13-01-2024 11:09:39 | ic| data['Username']: 'user1', 'logged in successfully'
13-01-2024 11:10:14 | ic| data['Username']: 'waga1', 'logged in successfully'
13-01-2024 11:46:54 | ic| data['Username']: 'newuser3', 'registered successfully'
13-01-2024 13:11:06 | ic| data['Username']: 'waga1', 'logged in successfully'
13-01-2024 13:24:45 | ic| data['Username']: 'waga11111111111111111'
    "registered successfully": 'registered successfully'
13-01-2024 13:26:49 | ic| data['Username']: 'waga11111111111111111'
    "logged in successfully": 'logged in successfully'
13-01-2024 13:30:05 | ic| data['Username']: 'waga1', 'logged in successfully'
13-01-2024 13:36:54 | ic| data['Username']: '1', 'logged in successfully'
13-01-2024 13:42:39 | ic| data['Username']: 'waga1', 'logged in successfully'
13-01-2024 14:34:49 | ic| data['Username']: 'waga1', 'logged in successfully'
13-01-2024 20:29:20 | ic| data['Username']: 'waga1', 'logged in successfully'
13-01-2024 20:52:43 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 20:54:21 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 20:55:14 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 20:55:33 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 20:57:04 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 20:58:55 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 21:00:31 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 21:01:13 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 21:02:10 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 21:04:01 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 21:06:49 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 21:08:08 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 21:12:34 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 21:13:35 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 21:17:06 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 21:17:17 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 21:18:34 | ic| current_user: 5, 'used Loans GET.'
13-01-2024 22:31:27 | ic| data['Username']: 'waga1', 'logged in successfully'
14-01-2024 07:10:09 | ic| data['Username']: 'waga1', 'logged in successfully'
15-01-2024 13:05:24 | ic| data['Username']: 'waga1', 'logged in successfully'
15-01-2024 16:04:21 | ic| data['Username']: 'waga1', 'logged in successfully'
15-01-2024 17:08:02 | ic| data['Username']: '1', 'logged in successfully'
15-01-2024 17:14:42 | ic| current_user: 1, 'used Loans POST.'
15-01-2024 17:15:07 | ic| current_user: 5, 'used Loans DELETE.'
15-01-2024 17:15:57 | ic| current_user: 5, 'used Loans DELETE.'
15-01-2024 17:16:02 | ic| current_user: 5, 'used Loans DELETE.'
15-01-2024 17:16:56 | ic| current_user: 1, 'used Loans POST.'
15-01-2024 17:21:38 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 17:26:14 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 17:29:56 | ic| current_user: 5, 'used Loans DELETE.'
15-01-2024 17:30:07 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 17:34:22 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 17:35:23 | ic| current_user: 5, 'used Loans DELETE.'
15-01-2024 17:49:14 | ic| data['Username']: '9999', 'registered successfully'
15-01-2024 17:49:26 | ic| data['Username']: '991', 'registered successfully'
15-01-2024 17:49:30 | ic| data['Username']: '992', 'registered successfully'
15-01-2024 17:49:59 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 17:50:04 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 17:50:08 | ic| current_user: 5, 'used Loans DELETE.'
15-01-2024 17:50:47 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 17:54:27 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 17:55:40 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 17:57:46 | ic| current_user: 5, 'used Loans DELETE.'
15-01-2024 17:57:51 | ic| current_user: 5, 'used Loans DELETE.'
15-01-2024 17:58:08 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 17:58:13 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 17:58:18 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 17:59:17 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 18:02:37 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 18:04:14 | ic| data['Username']: '333', 'registered successfully'
15-01-2024 18:04:20 | ic| data['Username']: '444', 'registered successfully'
15-01-2024 18:04:25 | ic| data['Username']: '555', 'registered successfully'
15-01-2024 18:04:36 | ic| data['Username']: 'waga1', 'logged in successfully'
15-01-2024 18:04:47 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 18:09:06 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 19:47:21 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 19:47:21 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 19:47:39 | ic| data['Username']: '12312321312', 'registered successfully'
15-01-2024 19:48:36 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 19:48:36 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 19:53:10 | ic| data['Username']: '123123213', 'registered successfully'
15-01-2024 19:53:19 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 19:53:34 | ic| data['Username']: '12312312321', 'registered successfully'
15-01-2024 19:53:38 | ic| data['Username']: '1231231232133', 'registered successfully'
15-01-2024 19:53:40 | ic| data['Username']: '12312312321331', 'registered successfully'
15-01-2024 19:55:01 | ic| data['Username']: '12312312312', 'registered successfully'
15-01-2024 19:55:54 | ic| data['Username']: '123123123123123', 'registered successfully'
15-01-2024 19:56:09 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 19:56:13 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 19:56:27 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:02:21 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:03:15 | ic| data['Username']: '222222222', 'registered successfully'
15-01-2024 20:03:48 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:03:48 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:12:24 | ic| data['Username']: 'w123123123', 'registered successfully'
15-01-2024 20:12:37 | ic| data['Username']: 'waga1', 'logged in successfully'
15-01-2024 20:12:50 | ic| data['Username']: 'ww123123123123', 'registered successfully'
15-01-2024 20:13:04 | ic| current_user: 5, 'used Customers DELETE.'
